index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.0908,0.0214,0.68,0.0416,0.0177,0.56,0.0342
1,0.2279,0.0191,0.6735,0.0371,0.0168,0.5918,0.0326
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0182,0.0559,0.5625,0.1017,0.0497,0.5,0.0904
6,0.0127,0.1364,0.4091,0.2045,0.1212,0.3636,0.1818
7,0.3063,0.1066,0.7222,0.1857,0.1066,0.7222,0.1857
8,0.0313,0.0018,0.3333,0.0035,0.0018,0.3333,0.0035
9,0.0,0.0026,0.6,0.0051,0.0017,0.4,0.0034
10,0.0324,0.0349,0.3793,0.064,0.0317,0.3448,0.0581
11,0.0,0.0332,0.3182,0.0601,0.0332,0.3182,0.0601
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0255,0.0074,0.6,0.0146,0.0061,0.5,0.0121
14,0.0493,0.0185,0.5,0.0356,0.0169,0.4583,0.0326
15,0.2033,0.0089,0.6667,0.0175,0.0089,0.6667,0.0175
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.028,0.0169,0.6061,0.0328,0.0135,0.4848,0.0263
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
