index,BLEU,ROUGE-ROUGE1-precision,ROUGE-ROUGE1-recall,ROUGE-ROUGE1-fmeasure,ROUGE-ROUGEL-precision,ROUGE-ROUGEL-recall,ROUGE-ROUGEL-fmeasure
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0173,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0172,0.0,0.0,0.0,0.0,0.0,0.0
4,0.5353,0.8333,0.8333,0.8333,0.8333,0.8333,0.8333
5,0.4118,0.3333,0.8125,0.4727,0.3333,0.8125,0.4727
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0291,0.0682,0.6,0.1224,0.0568,0.5,0.102
9,0.081,0.2941,0.3846,0.3333,0.2647,0.3462,0.3
10,0.0,0.019,0.2,0.0348,0.019,0.2,0.0348
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.1079,0.3235,0.7333,0.449,0.3235,0.7333,0.449
14,0.0134,0.0333,0.5,0.0625,0.0333,0.5,0.0625
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.012,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0278,0.0476,1.0,0.0909,0.0476,1.0,0.0909
18,0.2572,0.2769,0.6923,0.3956,0.2,0.5,0.2857
19,0.0148,0.0,0.0,0.0,0.0,0.0,0.0
